,Problem Number,Problem Rating,Link,Problem Statement,Input Specifications,Output Specifications
26,1187B,1300,https://codeforces.com/problemset/problem/1187/B,"The letters shop showcase is a string $$$s$$$, consisting of $$$n$$$ lowercase Latin letters. As the name tells, letters are sold in the shop.Letters are sold one by one from the leftmost to the rightmost. Any customer can only buy some prefix of letters from the string $$$s$$$.There are $$$m$$$ friends, the $$$i$$$-th of them is named $$$t_i$$$. Each of them is planning to estimate the following value: how many letters (the length of the shortest prefix) would s/he need to buy if s/he wanted to construct her/his name of bought letters. The name can be constructed if each letter is presented in the equal or greater amount.<ul> <li> For example, for $$$s$$$=""<span class=""tex-font-style-tt"">arrayhead</span>"" and $$$t_i$$$=""<span class=""tex-font-style-tt"">arya</span>"" $$$5$$$ letters have to be bought (""<span class=""tex-font-style-tt""><span class=""tex-font-style-bf"">array</span>head</span>""). </li><li> For example, for $$$s$$$=""<span class=""tex-font-style-tt"">arrayhead</span>"" and $$$t_i$$$=""<span class=""tex-font-style-tt"">harry</span>"" $$$6$$$ letters have to be bought (""<span class=""tex-font-style-tt""><span class=""tex-font-style-bf"">arrayh</span>ead</span>""). </li><li> For example, for $$$s$$$=""<span class=""tex-font-style-tt"">arrayhead</span>"" and $$$t_i$$$=""<span class=""tex-font-style-tt"">ray</span>"" $$$5$$$ letters have to be bought (""<span class=""tex-font-style-tt""><span class=""tex-font-style-bf"">array</span>head</span>""). </li><li> For example, for $$$s$$$=""<span class=""tex-font-style-tt"">arrayhead</span>"" and $$$t_i$$$=""<span class=""tex-font-style-tt"">r</span>"" $$$2$$$ letters have to be bought (""<span class=""tex-font-style-tt""><span class=""tex-font-style-bf"">ar</span>rayhead</span>""). </li><li> For example, for $$$s$$$=""<span class=""tex-font-style-tt"">arrayhead</span>"" and $$$t_i$$$=""<span class=""tex-font-style-tt"">areahydra</span>"" all $$$9$$$ letters have to be bought (""<span class=""tex-font-style-tt""><span class=""tex-font-style-bf"">arrayhead</span></span>""). </li></ul>It is guaranteed that every friend can construct her/his name using the letters from the string $$$s$$$.Note that the values for friends are independent, friends are only estimating them but not actually buying the letters.","The first line contains one integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$) — the length of showcase string $$$s$$$.The second line contains string $$$s$$$, consisting of exactly $$$n$$$ lowercase Latin letters.The third line contains one integer $$$m$$$ ($$$1 \le m \le 5 \cdot 10^4$$$) — the number of friends.The $$$i$$$-th of the next $$$m$$$ lines contains $$$t_i$$$ ($$$1 \le |t_i| \le 2 \cdot 10^5$$$) — the name of the $$$i$$$-th friend.It is guaranteed that $$$\sum \limits_{i=1}^m |t_i| \le 2 \cdot 10^5$$$.",For each friend print the length of the shortest prefix of letters from $$$s$$$ s/he would need to buy to be able to construct her/his name of them. The name can be constructed if each letter is presented in the equal or greater amount.It is guaranteed that every friend can construct her/his name using the letters from the string $$$s$$$.
27,732C,1300,https://codeforces.com/problemset/problem/732/C,"Vasiliy spent his vacation in a sanatorium, came back and found that he completely forgot details of his vacation! Every day there was a breakfast, a dinner and a supper in a dining room of the sanatorium (of course, in this order). The only thing that Vasiliy has now is a card from the dining room contaning notes how many times he had a breakfast, a dinner and a supper (thus, the card contains three integers). Vasiliy could sometimes have missed some meal, for example, he could have had a breakfast and a supper, but a dinner, or, probably, at some days he haven't been at the dining room at all.Vasiliy doesn't remember what was the time of the day when he arrived to sanatorium (before breakfast, before dinner, before supper or after supper), and the time when he left it (before breakfast, before dinner, before supper or after supper). So he considers any of these options. After Vasiliy arrived to the sanatorium, he was there all the time until he left. Please note, that it's possible that Vasiliy left the sanatorium on the same day he arrived.According to the notes in the card, help Vasiliy determine the minimum number of meals in the dining room that he could have missed. We shouldn't count as missed meals on the arrival day before Vasiliy's arrival and meals on the departure day after he left.","The only line contains three integers b, d and s (0 ≤ b, d, s ≤ 1018,  b + d + s ≥ 1) — the number of breakfasts, dinners and suppers which Vasiliy had during his vacation in the sanatorium. ",Print single integer — the minimum possible number of meals which Vasiliy could have missed during his vacation. 
28,1076C,1300,https://codeforces.com/problemset/problem/1076/C,"Try guessing the statement from this picture: <center> <img class=""tex-graphics"" src=""/predownloaded/9d/75/9d75b97f52d2e727f4696a1027da4d00ff1ba3a5.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>You are given a non-negative integer $$$d$$$. You have to find two non-negative real numbers $$$a$$$ and $$$b$$$ such that $$$a + b = d$$$ and $$$a \cdot b = d$$$.",The first line contains $$$t$$$ ($$$1 \le t \le 10^3$$$) — the number of test cases.Each test case contains one integer $$$d$$$ $$$(0 \le d \le 10^3)$$$.,"For each test print one line.If there is an answer for the $$$i$$$-th test, print ""Y"", and then the numbers $$$a$$$ and $$$b$$$.If there is no answer for the $$$i$$$-th test, print ""N"".Your answer will be considered correct if $$$|(a + b) - a \cdot b| \le 10^{-6}$$$ and $$$|(a + b) - d| \le 10^{-6}$$$."
29,1100C,1300,https://codeforces.com/problemset/problem/1100/C,"NN is an experienced internet user and that means he spends a lot of time on the social media. Once he found the following image on the Net, which asked him to compare the sizes of inner circles:<center> <img class=""tex-graphics"" height=""260px"" src=""/predownloaded/aa/b9/aab942a9713eb8e0d587948c0693f7c1705142b7.png"" style=""max-width: 100.0%;max-height: 100.0%;"" width=""567px""/> </center>It turned out that the circles are equal. NN was very surprised by this fact, so he decided to create a similar picture himself.He managed to calculate the number of outer circles $$$n$$$ and the radius of the inner circle $$$r$$$. NN thinks that, using this information, you can exactly determine the radius of the outer circles $$$R$$$ so that the inner circle touches all of the outer ones externally and each pair of neighboring outer circles also touches each other. While NN tried very hard to guess the required radius, he didn't manage to do that. Help NN find the required radius for building the required picture.","The first and the only line of the input file contains two numbers $$$n$$$ and $$$r$$$ ($$$3 \leq n \leq 100$$$, $$$1 \leq r \leq 100$$$) — the number of the outer circles and the radius of the inner circle respectively.","Output a single number $$$R$$$ — the radius of the outer circle required for building the required picture. Your answer will be accepted if its relative or absolute error does not exceed $$$10^{-6}$$$.Formally, if your answer is $$$a$$$ and the jury's answer is $$$b$$$. Your answer is accepted if and only when $$$\frac{|a-b|}{max(1, |b|)} \le 10^{-6}$$$."
30,1119B,1300,https://codeforces.com/problemset/problem/1119/B,"Alyona has recently bought a miniature fridge that can be represented as a matrix with $$$h$$$ rows and $$$2$$$ columns. Initially there is only one shelf at the bottom of the fridge, but Alyona can install arbitrary number of shelves inside the fridge between any two rows. A shelf is two cells wide, does not occupy any space but separates the inside of the fridge to the lower and upper part.<center> <img class=""tex-graphics"" height=""189px"" src=""/predownloaded/d4/3b/d43bb6c47031b4757a7713846dae3cc9501a141e.png"" style=""max-width: 100.0%;max-height: 100.0%;"" width=""62px""/> <span class=""tex-font-size-small"">An example of a fridge with $$$h = 7$$$ and two shelves. The shelves are shown in black. The picture corresponds to the first example.</span> </center>Alyona has $$$n$$$ bottles of milk that she wants to put in the fridge. The $$$i$$$-th bottle is $$$a_i$$$ cells tall and $$$1$$$ cell wide. She can put a bottle on some shelf if the corresponding space above the shelf is at least as tall as the bottle. She can <span class=""tex-font-style-bf"">not</span> put a bottle on top of another bottle (if there is no shelf between them). Two bottles can not share a cell.Alyona is interested in the largest integer $$$k$$$ such that she can put bottles $$$1$$$, $$$2$$$, ..., $$$k$$$ in the fridge at the same time. Find this largest $$$k$$$.","The first line contains two integers $$$n$$$ and $$$h$$$ ($$$1 \le n \le 10^3$$$, $$$1 \le h \le 10^9$$$) — the number of bottles and the height of the fridge.The second line contains $$$n$$$ integers $$$a_1$$$, $$$a_2$$$, ..., $$$a_n$$$ ($$$1 \le a_i \le h$$$) — the heights of the bottles.","Print the single integer $$$k$$$ — the maximum integer such that Alyona can put the bottles $$$1$$$, $$$2$$$, ..., $$$k$$$ in the fridge at the same time. If Alyona can put all bottles in the fridge, print $$$n$$$. It is easy to see that Alyona can always put at least one bottle in the fridge."
31,996B,1300,https://codeforces.com/problemset/problem/996/B,"Allen wants to enter a fan zone that occupies a round square and has $$$n$$$ entrances.There already is a queue of $$$a_i$$$ people in front of the $$$i$$$-th entrance. Each entrance allows one person from its queue to enter the fan zone in one minute.Allen uses the following strategy to enter the fan zone: <ul> <li> Initially he stands in the end of the queue in front of the first entrance. </li><li> Each minute, if he is not allowed into the fan zone during the minute (meaning he is not the first in the queue), he leaves the current queue and stands in the end of the queue of the next entrance (or the first entrance if he leaves the last entrance). </li></ul>Determine the entrance through which Allen will finally enter the fan zone.","The first line contains a single integer $$$n$$$ ($$$2 \le n \le 10^5$$$) — the number of entrances.The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \le a_i \le 10^9$$$) — the number of people in queues. These numbers do not include Allen.",Print a single integer — the number of entrance that Allen will use.
32,932B,1300,https://codeforces.com/problemset/problem/932/B,"Let us define two functions <span class=""tex-span""><i>f</i></span> and <span class=""tex-span""><i>g</i></span> on positive integer numbers. <center> <img align=""middle"" class=""tex-formula"" src=""//espresso.codeforces.com/affd4e3cdcadc3ba7dbceb6a2c0eb4ba928c1e4b.png"" style=""max-width: 100.0%;max-height: 100.0%;""/><img align=""middle"" class=""tex-formula"" src=""//espresso.codeforces.com/120df92771639f1f51a4b216dccd3ed7c32bb859.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>You need to process <span class=""tex-span""><i>Q</i></span> queries. In each query, you will be given three integers <span class=""tex-span""><i>l</i></span>, <span class=""tex-span""><i>r</i></span> and <span class=""tex-span""><i>k</i></span>. You need to print the number of integers <span class=""tex-span""><i>x</i></span> between <span class=""tex-span""><i>l</i></span> and <span class=""tex-span""><i>r</i></span> inclusive, such that <span class=""tex-span""><i>g</i>(<i>x</i>) = <i>k</i></span>. ","The first line of the input contains an integer Q (1 ≤ Q ≤ 2 × 105) representing the number of queries. Q lines follow, each of which contains 3 integers l, r and k (1 ≤ l ≤ r ≤ 106, 1 ≤ k ≤ 9).","For each query, print a single line containing the answer for that query."
33,192A,1300,https://codeforces.com/problemset/problem/192/A,"As you very well know, this year's funkiest numbers are so called triangular numbers (that is, integers that are representable as <img align=""middle"" class=""tex-formula"" src=""/predownloaded/9f/1b/9f1b880e4733684ca8ffe36fa544b37e790ad2ec.png"" style=""max-width: 100.0%;max-height: 100.0%;""/>, where <span class=""tex-span""><i>k</i></span> is some positive integer), and the coolest numbers are those that are representable as a sum of two triangular numbers.A well-known hipster Andrew adores everything funky and cool but unfortunately, he isn't good at maths. Given number <span class=""tex-span""><i>n</i></span>, help him define whether this number can be represented by a sum of two triangular numbers (not necessarily different)!",The first input line contains an integer n (1 ≤ n ≤ 109).,"Print ""YES"" (without the quotes), if n can be represented as a sum of two triangular numbers, otherwise print ""NO"" (without the quotes)."
34,161A,1300,https://codeforces.com/problemset/problem/161/A,"The Two-dimensional kingdom is going through hard times... This morning the Three-Dimensional kingdom declared war on the Two-dimensional one. This (possibly armed) conflict will determine the ultimate owner of the straight line.The Two-dimensional kingdom has a regular army of <span class=""tex-span""><i>n</i></span> people. Each soldier registered himself and indicated the desired size of the bulletproof vest: the <span class=""tex-span""><i>i</i></span>-th soldier indicated size <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub></span>. The soldiers are known to be unpretentious, so the command staff assumes that the soldiers are comfortable in any vests with sizes from <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub> - <i>x</i></span> to <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub> + <i>y</i></span>, inclusive (numbers <span class=""tex-span""><i>x</i>, <i>y</i> ≥ 0</span> are specified). The Two-dimensional kingdom has <span class=""tex-span""><i>m</i></span> vests at its disposal, the <span class=""tex-span""><i>j</i></span>-th vest's size equals <span class=""tex-span""><i>b</i><sub class=""lower-index""><i>j</i></sub></span>. Help mobilize the Two-dimensional kingdom's army: equip with vests as many soldiers as possible. Each vest can be used only once. The <span class=""tex-span""><i>i</i></span>-th soldier can put on the <span class=""tex-span""><i>j</i></span>-th vest, if <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub> - <i>x</i> ≤ <i>b</i><sub class=""lower-index""><i>j</i></sub> ≤ <i>a</i><sub class=""lower-index""><i>i</i></sub> + <i>y</i></span>.","The first input line contains four integers n, m, x and y (1 ≤ n, m ≤ 105, 0 ≤ x, y ≤ 109) — the number of soldiers, the number of vests and two numbers that specify the soldiers' unpretentiousness, correspondingly.The second line contains n integers a1, a2, ..., an (1 ≤ ai ≤ 109) in non-decreasing order, separated by single spaces — the desired sizes of vests. The third line contains m integers b1, b2, ..., bm (1 ≤ bj ≤ 109) in non-decreasing order, separated by single spaces — the sizes of the available vests.","In the first line print a single integer k — the maximum number of soldiers equipped with bulletproof vests. In the next k lines print k pairs, one pair per line, as ""ui vi"" (without the quotes). Pair (ui, vi) means that soldier number ui must wear vest number vi. Soldiers and vests are numbered starting from one in the order in which they are specified in the input. All numbers of soldiers in the pairs should be pairwise different, all numbers of vests in the pairs also should be pairwise different. You can print the pairs in any order.If there are multiple optimal answers, you are allowed to print any of them."
35,181B,1300,https://codeforces.com/problemset/problem/181/B,"You are given <span class=""tex-span""><i>n</i></span> points on a plane. All points are different.Find the number of different groups of three points <span class=""tex-span"">(<i>A</i>, <i>B</i>, <i>C</i>)</span> such that point <span class=""tex-span""><i>B</i></span> is the middle of segment <span class=""tex-span""><i>AC</i></span>. The groups of three points are considered unordered, that is, if point <span class=""tex-span""><i>B</i></span> is the middle of segment <span class=""tex-span""><i>AC</i></span>, then groups <span class=""tex-span"">(<i>A</i>, <i>B</i>, <i>C</i>)</span> and <span class=""tex-span"">(<i>C</i>, <i>B</i>, <i>A</i>)</span> are considered the same.","The first line contains a single integer n (3 ≤ n ≤ 3000) — the number of points. Next n lines contain the points. The i-th line contains coordinates of the i-th point: two space-separated integers xi, yi ( - 1000 ≤ xi, yi ≤ 1000).It is guaranteed that all given points are different.",Print the single number — the answer to the problem. 
36,279B,1400,https://codeforces.com/problemset/problem/279/B,"When Valera has got some free time, he goes to the library to read some books. Today he's got <span class=""tex-span""><i>t</i></span> free minutes to read. That's why Valera took <span class=""tex-span""><i>n</i></span> books in the library and for each book he estimated the time he is going to need to read it. Let's number the books by integers from 1 to <span class=""tex-span""><i>n</i></span>. Valera needs <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub></span> minutes to read the <span class=""tex-span""><i>i</i></span>-th book.Valera decided to choose an arbitrary book with number <span class=""tex-span""><i>i</i></span> and read the books one by one, starting from this book. In other words, he will first read book number <span class=""tex-span""><i>i</i></span>, then book number <span class=""tex-span""><i>i</i> + 1</span>, then book number <span class=""tex-span""><i>i</i> + 2</span> and so on. He continues the process until he either runs out of the free time or finishes reading the <span class=""tex-span""><i>n</i></span>-th book. Valera reads each book up to the end, that is, he doesn't start reading the book if he doesn't have enough free time to finish reading it. Print the maximum number of books Valera can read.","The first line contains two integers n and t (1 ≤ n ≤ 105; 1 ≤ t ≤ 109) — the number of books and the number of free minutes Valera's got. The second line contains a sequence of n integers a1, a2, ..., an (1 ≤ ai ≤ 104), where number ai shows the number of minutes that the boy needs to read the i-th book.",Print a single integer — the maximum number of books Valera can read.
37,1183C,1400,https://codeforces.com/problemset/problem/1183/C,"Vova is playing a computer game. There are in total $$$n$$$ turns in the game and Vova really wants to play all of them. The initial charge of his laptop battery (i.e. the charge before the start of the game) is $$$k$$$.During each turn Vova can choose what to do: <ul> <li> If the current charge of his laptop battery is strictly greater than $$$a$$$, Vova can <span class=""tex-font-style-it"">just play</span>, and then the charge of his laptop battery will decrease by $$$a$$$; </li><li> if the current charge of his laptop battery is strictly greater than $$$b$$$ ($$$b&lt;a$$$), Vova can <span class=""tex-font-style-it"">play and charge</span> his laptop, and then the charge of his laptop battery will decrease by $$$b$$$; </li><li> if the current charge of his laptop battery is less than or equal to $$$a$$$ and $$$b$$$ at the same time then Vova cannot do anything and loses the game. </li></ul><span class=""tex-font-style-bf"">Regardless of Vova's turns the charge of the laptop battery is always decreases</span>.Vova wants to complete the game (Vova can complete the game if after each of $$$n$$$ turns the charge of the laptop battery is <span class=""tex-font-style-bf"">strictly greater than $$$0$$$</span>). Vova has to play <span class=""tex-font-style-bf"">exactly $$$n$$$ turns</span>. Among all possible ways to complete the game, Vova wants to choose the one where the number of turns when he <span class=""tex-font-style-it"">just plays</span> (<span class=""tex-font-style-bf"">first type turn</span>) is the <span class=""tex-font-style-bf"">maximum</span> possible. It is possible that Vova cannot complete the game at all.Your task is to find out the <span class=""tex-font-style-bf"">maximum</span> possible number of turns Vova can <span class=""tex-font-style-it"">just play</span> (make the <span class=""tex-font-style-bf"">first type turn</span>) or report that Vova cannot complete the game.You have to answer $$$q$$$ independent queries.","The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 10^5$$$) — the number of queries. Each query is presented by a single line.The only line of the query contains four integers $$$k, n, a$$$ and $$$b$$$ ($$$1 \le k, n \le 10^9, 1 \le b < a \le 10^9$$$) — the initial charge of Vova's laptop battery, the number of turns in the game and values $$$a$$$ and $$$b$$$, correspondingly.",For each query print one integer: -1 if Vova cannot complete the game or the maximum number of turns Vova can just play (make the first type turn) otherwise.
38,251A,1400,https://codeforces.com/problemset/problem/251/A,"Little Petya likes points a lot. Recently his mom has presented him <span class=""tex-span""><i>n</i></span> points lying on the line <span class=""tex-span""><i>OX</i></span>. Now Petya is wondering in how many ways he can choose three distinct points so that the distance between the two farthest of them doesn't exceed <span class=""tex-span""><i>d</i></span>.Note that the order of the points inside the group of three chosen points doesn't matter.","The first line contains two integers: n and d (1 ≤ n ≤ 105; 1 ≤ d ≤ 109). The next line contains n integers x1, x2, ..., xn, their absolute value doesn't exceed 109 — the x-coordinates of the points that Petya has got.It is guaranteed that the coordinates of the points in the input strictly increase.","Print a single integer — the number of groups of three points, where the distance between two farthest points doesn't exceed d.Please do not use the %lld specifier to read or write 64-bit integers in С++. It is preferred to use the cin, cout streams or the %I64d specifier."
39,1201C,1400,https://codeforces.com/problemset/problem/1201/C,"You are given an array $$$a$$$ of $$$n$$$ integers, where $$$n$$$ is odd. You can make the following operation with it:<ul> <li> Choose one of the elements of the array (for example $$$a_i$$$) and increase it by $$$1$$$ (that is, replace it with $$$a_i + 1$$$). </li></ul>You want to make the median of the array the largest possible using at most $$$k$$$ operations.The median of the odd-sized array is the middle element after the array is sorted in non-decreasing order. For example, the median of the array $$$[1, 5, 2, 3, 5]$$$ is $$$3$$$.","The first line contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n \le 2 \cdot 10^5$$$, $$$n$$$ is odd, $$$1 \le k \le 10^9$$$) — the number of elements in the array and the largest number of operations you can make.The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$).",Print a single integer — the maximum possible median after the operations.
40,670D1,1400,https://codeforces.com/problemset/problem/670/D1,"<span class=""tex-font-style-it"">This problem is given in two versions that differ only by constraints. If you can solve this problem in large constraints, then you can just write a single solution to the both versions. If you find the problem too difficult in large constraints, you can write solution to the simplified version only.</span>Waking up in the morning, Apollinaria decided to bake cookies. To bake one cookie, she needs <span class=""tex-span""><i>n</i></span> ingredients, and for each ingredient she knows the value <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub></span> — how many grams of this ingredient one needs to bake a cookie. To prepare one cookie Apollinaria needs to use all <span class=""tex-span""><i>n</i></span> ingredients.Apollinaria has <span class=""tex-span""><i>b</i><sub class=""lower-index""><i>i</i></sub></span> gram of the <span class=""tex-span""><i>i</i></span>-th ingredient. Also she has <span class=""tex-span""><i>k</i></span> grams of a magic powder. Each gram of magic powder can be turned to exactly <span class=""tex-span"">1</span> gram of any of the <span class=""tex-span""><i>n</i></span> ingredients and can be used for baking cookies.Your task is to determine the maximum number of cookies, which Apollinaria is able to bake using the ingredients that she has and the magic powder.","The first line of the input contains two positive integers n and k (1 ≤ n, k ≤ 1000) — the number of ingredients and the number of grams of the magic powder.The second line contains the sequence a1, a2, ..., an (1 ≤ ai ≤ 1000), where the i-th number is equal to the number of grams of the i-th ingredient, needed to bake one cookie.The third line contains the sequence b1, b2, ..., bn (1 ≤ bi ≤ 1000), where the i-th number is equal to the number of grams of the i-th ingredient, which Apollinaria has.","Print the maximum number of cookies, which Apollinaria will be able to bake using the ingredients that she has and the magic powder."
41,271B,1400,https://codeforces.com/problemset/problem/271/B,"You've got an <span class=""tex-span""><i>n</i> × <i>m</i></span> matrix. The matrix consists of integers. In one move, you can apply a single transformation to the matrix: choose an arbitrary element of the matrix and increase it by <span class=""tex-span"">1</span>. Each element can be increased an arbitrary number of times.You are really curious about prime numbers. Let us remind you that a <span class=""tex-font-style-it"">prime number</span> is a positive integer that has exactly two distinct positive integer divisors: itself and number one. For example, numbers 2, 3, 5 are prime and numbers 1, 4, 6 are not. A matrix is <span class=""tex-font-style-it"">prime</span> if at least one of the two following conditions fulfills:<ul> <li> the matrix has a row with prime numbers only; </li><li> the matrix has a column with prime numbers only; </li></ul>Your task is to count the minimum number of moves needed to get a prime matrix from the one you've got.","The first line contains two integers n, m (1 ≤ n, m ≤ 500) — the number of rows and columns in the matrix, correspondingly.Each of the following n lines contains m integers — the initial matrix. All matrix elements are positive integers. All numbers in the initial matrix do not exceed 105.The numbers in the lines are separated by single spaces.","Print a single integer — the minimum number of moves needed to get a prime matrix from the one you've got. If you've got a prime matrix, print 0."
42,816B,1400,https://codeforces.com/problemset/problem/816/B,"To stay woke and attentive during classes, Karen needs some coffee!<center> <img class=""tex-graphics"" src=""/predownloaded/c8/23/c82395762812316ae4d06cb9f7f4028c71196665.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>Karen, a coffee aficionado, wants to know the optimal temperature for brewing the perfect cup of coffee. Indeed, she has spent some time reading several recipe books, including the universally acclaimed ""The Art of the Covfefe"".She knows <span class=""tex-span""><i>n</i></span> coffee recipes. The <span class=""tex-span""><i>i</i></span>-th recipe suggests that coffee should be brewed between <span class=""tex-span""><i>l</i><sub class=""lower-index""><i>i</i></sub></span> and <span class=""tex-span""><i>r</i><sub class=""lower-index""><i>i</i></sub></span> degrees, inclusive, to achieve the optimal taste.Karen thinks that a temperature is <span class=""tex-font-style-it"">admissible</span> if at least <span class=""tex-span""><i>k</i></span> recipes recommend it.Karen has a rather fickle mind, and so she asks <span class=""tex-span""><i>q</i></span> questions. In each question, given that she only wants to prepare coffee with a temperature between <span class=""tex-span""><i>a</i></span> and <span class=""tex-span""><i>b</i></span>, inclusive, can you tell her how many admissible integer temperatures fall within the range?","The first line of input contains three integers, n, k (1 ≤ k ≤ n ≤ 200000), and q (1 ≤ q ≤ 200000), the number of recipes, the minimum number of recipes a certain temperature must be recommended by to be admissible, and the number of questions Karen has, respectively.The next n lines describe the recipes. Specifically, the i-th line among these contains two integers li and ri (1 ≤ li ≤ ri ≤ 200000), describing that the i-th recipe suggests that the coffee be brewed between li and ri degrees, inclusive.The next q lines describe the questions. Each of these lines contains a and b, (1 ≤ a ≤ b ≤ 200000), describing that she wants to know the number of admissible integer temperatures between a and b degrees, inclusive.","For each question, output a single integer on a line by itself, the number of admissible integer temperatures between a and b degrees, inclusive."
43,96B,1400,https://codeforces.com/problemset/problem/96/B,"Petya loves lucky numbers. Everybody knows that positive integers are <span class=""tex-font-style-underline"">lucky</span> if their decimal representation doesn't contain digits other than <span class=""tex-span"">4</span> and <span class=""tex-span"">7</span>. For example, numbers <span class=""tex-span"">47</span>, <span class=""tex-span"">744</span>, <span class=""tex-span"">4</span> are lucky and <span class=""tex-span"">5</span>, <span class=""tex-span"">17</span>, <span class=""tex-span"">467</span> are not.Lucky number is <span class=""tex-font-style-underline"">super lucky</span> if it's decimal representation contains equal amount of digits <span class=""tex-span"">4</span> and <span class=""tex-span"">7</span>. For example, numbers <span class=""tex-span"">47</span>, <span class=""tex-span"">7744</span>, <span class=""tex-span"">474477</span> are super lucky and <span class=""tex-span"">4</span>, <span class=""tex-span"">744</span>, <span class=""tex-span"">467</span> are not.One day Petya came across a positive integer <span class=""tex-span""><i>n</i></span>. Help him to find the least super lucky number which is not less than <span class=""tex-span""><i>n</i></span>.",The only line contains a positive integer n (1 ≤ n ≤ 109). This number doesn't have leading zeroes.,"Output the least super lucky number that is more than or equal to n.Please, do not use the %lld specificator to read or write 64-bit integers in C++. It is preferred to use the cin, cout streams or the %I64d specificator."
44,604B,1400,https://codeforces.com/problemset/problem/604/B,"Kevin Sun wants to move his precious collection of <span class=""tex-span""><i>n</i></span> cowbells from Naperthrill to Exeter, where there is actually grass instead of corn. Before moving, he must pack his cowbells into <span class=""tex-span""><i>k</i></span> boxes of a fixed size. In order to keep his collection safe during transportation, he won't place more than <span class=""tex-font-style-bf"">two</span> cowbells into a single box. Since Kevin wishes to minimize expenses, he is curious about the smallest size box he can use to pack his entire collection. Kevin is a meticulous cowbell collector and knows that the size of his <span class=""tex-span""><i>i</i></span>-th (<span class=""tex-span"">1 ≤ <i>i</i> ≤ <i>n</i></span>) cowbell is an integer <span class=""tex-span""><i>s</i><sub class=""lower-index""><i>i</i></sub></span>. In fact, he keeps his cowbells sorted by size, so <span class=""tex-span""><i>s</i><sub class=""lower-index""><i>i</i> - 1</sub> ≤ <i>s</i><sub class=""lower-index""><i>i</i></sub></span> for any <span class=""tex-span""><i>i</i> &gt; 1</span>. Also an expert packer, Kevin can fit one or two cowbells into a box of size <span class=""tex-span""><i>s</i></span> if and only if the sum of their sizes does not exceed <span class=""tex-span""><i>s</i></span>. Given this information, help Kevin determine the smallest <span class=""tex-span""><i>s</i></span> for which it is possible to put all of his cowbells into <span class=""tex-span""><i>k</i></span> boxes of size <span class=""tex-span""><i>s</i></span>.","The first line of the input contains two space-separated integers n and k (1 ≤ n ≤ 2·k ≤ 100 000), denoting the number of cowbells and the number of boxes, respectively.The next line contains n space-separated integers s1, s2, ..., sn (1 ≤ s1 ≤ s2 ≤ ... ≤ sn ≤ 1 000 000), the sizes of Kevin's cowbells. It is guaranteed that the sizes si are given in non-decreasing order.","Print a single integer, the smallest s for which it is possible for Kevin to put all of his cowbells into k boxes of size s."
45,1263C,1400,https://codeforces.com/problemset/problem/1263/C,"On the well-known testing system MathForces, a draw of $$$n$$$ rating units is arranged. The rating will be distributed according to the following algorithm: if $$$k$$$ participants take part in this event, then the $$$n$$$ rating is evenly distributed between them and rounded to the nearest lower integer, At the end of the drawing, an unused rating may remain — it is not given to any of the participants.For example, if $$$n = 5$$$ and $$$k = 3$$$, then each participant will recieve an $$$1$$$ rating unit, and also $$$2$$$ rating units will remain unused. If $$$n = 5$$$, and $$$k = 6$$$, then none of the participants will increase their rating.Vasya participates in this rating draw but does not have information on the total number of participants in this event. Therefore, he wants to know what different values of the rating increment are possible to get as a result of this draw and asks you for help.For example, if $$$n=5$$$, then the answer is equal to the sequence $$$0, 1, 2, 5$$$. Each of the sequence values (and only them) can be obtained as $$$\lfloor n/k \rfloor$$$ for some positive integer $$$k$$$ (where $$$\lfloor x \rfloor$$$ is the value of $$$x$$$ rounded down): $$$0 = \lfloor 5/7 \rfloor$$$, $$$1 = \lfloor 5/5 \rfloor$$$, $$$2 = \lfloor 5/2 \rfloor$$$, $$$5 = \lfloor 5/1 \rfloor$$$.Write a program that, for a given $$$n$$$, finds a sequence of all possible rating increments.",The first line contains integer number $$$t$$$ ($$$1 \le t \le 10$$$) — the number of test cases in the input. Then $$$t$$$ test cases follow.Each line contains an integer $$$n$$$ ($$$1 \le n \le 10^9$$$) — the total number of the rating units being drawn.,Output the answers for each of $$$t$$$ test cases. Each answer should be contained in two lines.In the first line print a single integer $$$m$$$ — the number of different rating increment values that Vasya can get.In the following line print $$$m$$$ integers in ascending order — the values of possible rating increments.
