,Problem Number,Problem Statement,Input Specifications,Output Specifications
10,339A,"Xenia the beginner mathematician is a third year student at elementary school. She is now learning the addition operation.The teacher has written down the sum of multiple numbers. Pupils should calculate the sum. To make the calculation easier, the sum only contains numbers 1, 2 and 3. Still, that isn't enough for Xenia. She is only beginning to count, so she can calculate a sum only if the summands follow in non-decreasing order. For example, she can't calculate sum 1+3+2+1 but she can calculate sums 1+1+2 and 3+3.You've got the sum that was written on the board. Rearrange the summans and print the sum in such a way that Xenia can calculate the sum.","The first line contains a non-empty string s — the sum Xenia needs to count. String s contains no spaces. It only contains digits and characters ""+"". Besides, string s is a correct sum of numbers 1, 2 and 3. String s is at most 100 characters long.",Print the new sum that Xenia can count.
11,263A,"You've got a <span class=""tex-span"">5 × 5</span> matrix, consisting of <span class=""tex-span"">24</span> zeroes and a single number one. Let's index the matrix rows by numbers from <span class=""tex-span"">1</span> to <span class=""tex-span"">5</span> from top to bottom, let's index the matrix columns by numbers from <span class=""tex-span"">1</span> to <span class=""tex-span"">5</span> from left to right. In one move, you are allowed to apply one of the two following transformations to the matrix:<ol> <li> Swap two neighboring matrix rows, that is, rows with indexes <span class=""tex-span""><i>i</i></span> and <span class=""tex-span""><i>i</i> + 1</span> for some integer <span class=""tex-span""><i>i</i></span> <span class=""tex-span"">(1 ≤ <i>i</i> &lt; 5)</span>. </li><li> Swap two neighboring matrix columns, that is, columns with indexes <span class=""tex-span""><i>j</i></span> and <span class=""tex-span""><i>j</i> + 1</span> for some integer <span class=""tex-span""><i>j</i></span> <span class=""tex-span"">(1 ≤ <i>j</i> &lt; 5)</span>. </li></ol>You think that a matrix looks <span class=""tex-font-style-it"">beautiful</span>, if the single number one of the matrix is located in its middle (in the cell that is on the intersection of the third row and the third column). Count the minimum number of moves needed to make the matrix beautiful.","The input consists of five lines, each line contains five integers: the j-th integer in the i-th line of the input represents the element of the matrix that is located on the intersection of the i-th row and the j-th column. It is guaranteed that the matrix consists of 24 zeroes and a single number one.",Print a single integer — the minimum number of moves needed to make the matrix beautiful.
12,281A,"Capitalization is writing a word with its first letter as a capital letter. Your task is to capitalize the given word.Note, that during capitalization all the letters except the first one remains unchanged.",A single line contains a non-empty word. This word consists of lowercase and uppercase English letters. The length of the word will not exceed 103.,Output the given word after capitalization.
13,266A,"There are <span class=""tex-span""><i>n</i></span> stones on the table in a row, each of them can be red, green or blue. Count the minimum number of stones to take from the table so that any two neighboring stones had different colors. Stones in a row are considered neighboring if there are no other stones between them.","The first line contains integer n (1 ≤ n ≤ 50) — the number of stones on the table. The next line contains string s, which represents the colors of the stones. We'll consider the stones in the row numbered from 1 to n from left to right. Then the i-th character s equals ""R"", if the i-th stone is red, ""G"", if it's green and ""B"", if it's blue.",Print a single integer — the answer to the problem.
14,236A,"Those days, many boys use beautiful girls' photos as avatars in forums. So it is pretty hard to tell the gender of a user at the first glance. Last year, our hero went to a forum and had a nice chat with a beauty (he thought so). After that they talked very often and eventually they became a couple in the network. But yesterday, he came to see ""her"" in the real world and found out ""she"" is actually a very strong man! Our hero is very sad and he is too tired to love again now. So he came up with a way to recognize users' genders by their user names.This is his method: if the number of distinct characters in one's user name is odd, then he is a male, otherwise she is a female. You are given the string that denotes the user name, please help our hero to determine the gender of this user by his method.","The first line contains a non-empty string, that contains only lowercase English letters — the user name. This string contains at most 100 letters.","If it is a female by our hero's method, print ""CHAT WITH HER!"" (without the quotes), otherwise, print ""IGNORE HIM!"" (without the quotes)."
15,69A,"A guy named Vasya attends the final grade of a high school. One day Vasya decided to watch a match of his favorite hockey team. And, as the boy loves hockey very much, even more than physics, he forgot to do the homework. Specifically, he forgot to complete his physics tasks. Next day the teacher got very angry at Vasya and decided to teach him a lesson. He gave the lazy student a seemingly easy task: You are given an idle body in space and the forces that affect it. The body can be considered as a material point with coordinates (0; 0; 0). Vasya had only to answer whether it is in equilibrium. ""Piece of cake"" — thought Vasya, we need only to check if the sum of all vectors is equal to 0. So, Vasya began to solve the problem. But later it turned out that there can be lots and lots of these forces, and Vasya can not cope without your help. Help him. Write a program that determines whether a body is idle or is moving by the given vectors of forces.","The first line contains a positive integer n (1 ≤ n ≤ 100), then follow n lines containing three integers each: the xi coordinate, the yi coordinate and the zi coordinate of the force vector, applied to the body ( - 100 ≤ xi, yi, zi ≤ 100).","Print the word ""YES"" if the body is in equilibrium, or the word ""NO"" if it is not."
16,58A,"A guy named Vasya attends the final grade of a high school. One day Vasya decided to watch a match of his favorite hockey team. And, as the boy loves hockey very much, even more than physics, he forgot to do the homework. Specifically, he forgot to complete his physics tasks. Next day the teacher got very angry at Vasya and decided to teach him a lesson. He gave the lazy student a seemingly easy task: You are given an idle body in space and the forces that affect it. The body can be considered as a material point with coordinates (0; 0; 0). Vasya had only to answer whether it is in equilibrium. ""Piece of cake"" — thought Vasya, we need only to check if the sum of all vectors is equal to 0. So, Vasya began to solve the problem. But later it turned out that there can be lots and lots of these forces, and Vasya can not cope without your help. Help him. Write a program that determines whether a body is idle or is moving by the given vectors of forces.","The first line contains a positive integer n (1 ≤ n ≤ 100), then follow n lines containing three integers each: the xi coordinate, the yi coordinate and the zi coordinate of the force vector, applied to the body ( - 100 ≤ xi, yi, zi ≤ 100).","Print the word ""YES"" if the body is in equilibrium, or the word ""NO"" if it is not."
17,116A,"Linear Kingdom has exactly one tram line. It has <span class=""tex-span""><i>n</i></span> stops, numbered from <span class=""tex-span"">1</span> to <span class=""tex-span""><i>n</i></span> in the order of tram's movement. At the <span class=""tex-span""><i>i</i></span>-th stop <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub></span> passengers exit the tram, while <span class=""tex-span""><i>b</i><sub class=""lower-index""><i>i</i></sub></span> passengers enter it. The tram is empty before it arrives at the first stop. Also, when the tram arrives at the last stop, all passengers exit so that it becomes empty.Your task is to calculate the tram's minimum capacity such that the number of people inside the tram at any time never exceeds this capacity. Note that at each stop all exiting passengers exit <span class=""tex-font-style-bf"">before</span> any entering passenger enters the tram.","The first line contains a single number n (2 ≤ n ≤ 1000) — the number of the tram's stops. Then n lines follow, each contains two integers ai and bi (0 ≤ ai, bi ≤ 1000) — the number of passengers that exits the tram at the i-th stop, and the number of passengers that enter the tram at the i-th stop. The stops are given from the first to the last stop in the order of tram's movement.  The number of people who exit at a given stop does not exceed the total number of people in the tram immediately before it arrives at the stop. More formally, . This particularly means that a1 = 0.  At the last stop, all the passengers exit the tram and it becomes empty. More formally, .  No passenger will enter the train at the last stop. That is, bn = 0. ",Print a single integer denoting the minimum possible capacity of the tram (0 is allowed).
18,122A,"<span class=""tex-font-style-underline"">Petya loves lucky numbers. Everybody knows that lucky numbers are positive integers whose decimal representation contains only the lucky digits <span class=""tex-font-style-bf"">4</span> and <span class=""tex-font-style-bf"">7</span>. For example, numbers <span class=""tex-font-style-bf"">47</span>, <span class=""tex-font-style-bf"">744</span>, <span class=""tex-font-style-bf"">4</span> are lucky and <span class=""tex-font-style-bf"">5</span>, <span class=""tex-font-style-bf"">17</span>, <span class=""tex-font-style-bf"">467</span> are not.</span>Petya calls a number <span class=""tex-font-style-underline"">almost lucky</span> if it could be evenly divided by some lucky number. Help him find out if the given number <span class=""tex-span""><i>n</i></span> is almost lucky.",The single line contains an integer n (1 ≤ n ≤ 1000) — the number that needs to be checked.,"In the only line print ""YES"" (without the quotes), if number n is almost lucky. Otherwise, print ""NO"" (without the quotes)."
19,546A,"A soldier wants to buy <span class=""tex-span""><i>w</i></span> bananas in the shop. He has to pay <span class=""tex-span""><i>k</i></span> dollars for the first banana, <span class=""tex-span"">2<i>k</i></span> dollars for the second one and so on (in other words, he has to pay <span class=""tex-span""><i>i</i>·<i>k</i></span> dollars for the <span class=""tex-span""><i>i</i></span>-th banana). He has <span class=""tex-span""><i>n</i></span> dollars. How many dollars does he have to borrow from his friend soldier to buy <span class=""tex-span""><i>w</i></span> bananas?","The first line contains three positive integers k, n, w (1  ≤  k, w  ≤  1000, 0 ≤ n ≤ 109), the cost of the first banana, initial number of dollars the soldier has and number of bananas he wants. ","Output one integer — the amount of dollars that the soldier must borrow from his friend. If he doesn't have to borrow money, output 0."
20,158A,"After the lessons <span class=""tex-span""><i>n</i></span> groups of schoolchildren went outside and decided to visit Polycarpus to celebrate his birthday. We know that the <span class=""tex-span""><i>i</i></span>-th group consists of <span class=""tex-span""><i>s</i><sub class=""lower-index""><i>i</i></sub></span> friends (<span class=""tex-span"">1 ≤ <i>s</i><sub class=""lower-index""><i>i</i></sub> ≤ 4</span>), and they want to go to Polycarpus together. They decided to get there by taxi. Each car can carry at most four passengers. What minimum number of cars will the children need if all members of each group should ride in the same taxi (but one taxi can take more than one group)?","The first line contains integer n (1 ≤ n ≤ 105) — the number of groups of schoolchildren. The second line contains a sequence of integers s1, s2, ..., sn (1 ≤ si ≤ 4). The integers are separated by a space, si is the number of children in the i-th group.",Print the single number — the minimum number of taxis necessary to drive all children to Polycarpus.
21,160A,"Imagine that you have a twin brother or sister. Having another person that looks exactly like you seems very unusual. It's hard to say if having something of an alter ego is good or bad. And if you do have a twin, then you very well know what it's like.Now let's imagine a typical morning in your family. You haven't woken up yet, and Mom is already going to work. She has been so hasty that she has nearly forgotten to leave the two of her darling children some money to buy lunches in the school cafeteria. She fished in the purse and found some number of coins, or to be exact, <span class=""tex-span""><i>n</i></span> coins of arbitrary values <span class=""tex-span""><i>a</i><sub class=""lower-index"">1</sub>, <i>a</i><sub class=""lower-index"">2</sub>, ..., <i>a</i><sub class=""lower-index""><i>n</i></sub></span>. But as Mom was running out of time, she didn't split the coins for you two. So she scribbled a note asking you to split the money equally.As you woke up, you found Mom's coins and read her note. ""But why split the money equally?"" — you thought. After all, your twin is sleeping and he won't know anything. So you decided to act like that: pick for yourself some subset of coins so that the sum of values of your coins is <span class=""tex-font-style-bf"">strictly larger</span> than the sum of values of the remaining coins that your twin will have. However, you correctly thought that if you take too many coins, the twin will suspect the deception. So, you've decided to stick to the following strategy to avoid suspicions: you take the <span class=""tex-font-style-bf"">minimum number of coins</span>, whose sum of values is strictly more than the sum of values of the remaining coins. On this basis, determine what <span class=""tex-font-style-bf"">minimum</span> number of coins you need to take to divide them in the described manner.","The first line contains integer n (1 ≤ n ≤ 100) — the number of coins. The second line contains a sequence of n integers a1, a2, ..., an (1 ≤ ai ≤ 100) — the coins' values. All numbers are separated with spaces.",In the single line print the single number — the minimum needed number of coins.
22,133A,"HQ9+ is a joke programming language which has only four one-character instructions:<ul><li> ""<span class=""tex-font-style-tt"">H</span>"" prints ""<span class=""tex-font-style-tt"">Hello, World!</span>"",</li><li> ""<span class=""tex-font-style-tt"">Q</span>"" prints the source code of the program itself,</li><li> ""<span class=""tex-font-style-tt"">9</span>"" prints the lyrics of ""99 Bottles of Beer"" song, </li><li> ""<span class=""tex-font-style-tt"">+</span>"" increments the value stored in the internal accumulator.</li></ul>Instructions ""<span class=""tex-font-style-tt"">H</span>"" and ""<span class=""tex-font-style-tt"">Q</span>"" are case-sensitive and must be uppercase. The characters of the program which are not instructions are ignored.You are given a program written in HQ9+. You have to figure out whether executing this program will produce any output.","The input will consist of a single line p which will give a program in HQ9+. String p will contain between 1 and 100 characters, inclusive. ASCII-code of each character of p will be between 33 (exclamation mark) and 126 (tilde), inclusive.","Output ""YES"", if executing the program will produce any output, and ""NO"" otherwise."
23,131A,"wHAT DO WE NEED cAPS LOCK FOR?Caps lock is a computer keyboard key. Pressing it sets an input mode in which typed letters are capital by default. If it is pressed by accident, it leads to accidents like the one we had in the first passage. Let's consider that a word has been typed with the Caps lock key accidentally switched on, if: <ul> <li> either it only contains uppercase letters; </li><li> or all letters except for the first one are uppercase. </li></ul>In this case we should automatically change the case of all letters. For example, the case of the letters that form words ""<span class=""tex-font-style-tt"">hELLO</span>"", ""<span class=""tex-font-style-tt"">HTTP</span>"", ""<span class=""tex-font-style-tt"">z</span>"" should be changed.Write a program that applies the rule mentioned above. If the rule cannot be applied, the program should leave the word unchanged.","The first line of the input data contains a word consisting of uppercase and lowercase Latin letters. The word's length is from 1 to 100 characters, inclusive.",Print the result of the given word's processing.
24,266A,"During the break the schoolchildren, boys and girls, formed a queue of <span class=""tex-span""><i>n</i></span> people in the canteen. Initially the children stood in the order they entered the canteen. However, after a while the boys started feeling awkward for standing in front of the girls in the queue and they started letting the girls move forward each second. Let's describe the process more precisely. Let's say that the positions in the queue are sequentially numbered by integers from <span class=""tex-span"">1</span> to <span class=""tex-span""><i>n</i></span>, at that the person in the position number <span class=""tex-span"">1</span> is served first. Then, if at time <span class=""tex-span""><i>x</i></span> a boy stands on the <span class=""tex-span""><i>i</i></span>-th position and a girl stands on the <span class=""tex-span"">(<i>i</i> + 1)</span>-th position, then at time <span class=""tex-span""><i>x</i> + 1</span> the <span class=""tex-span""><i>i</i></span>-th position will have a girl and the <span class=""tex-span"">(<i>i</i> + 1)</span>-th position will have a boy. The time is given in seconds.You've got the initial position of the children, at the initial moment of time. Determine the way the queue is going to look after <span class=""tex-span""><i>t</i></span> seconds.","The first line contains two integers n and t (1 ≤ n, t ≤ 50), which represent the number of children in the queue and the time after which the queue will transform into the arrangement you need to find. The next line contains string s, which represents the schoolchildren's initial arrangement. If the i-th position in the queue contains a boy, then the i-th character of string s equals ""B"", otherwise the i-th character equals ""G"".","Print string a, which describes the arrangement after t seconds. If the i-th position has a boy after the needed time, then the i-th character a must equal ""B"", otherwise it must equal ""G""."
